"species","family","class","included_in_analysis"
"Acris_crepitans","Hylidae","Amphibia",TRUE
"Acris_gryllus","Hylidae","Amphibia",TRUE
"Adelastes_hylonomos","Microhylidae","Amphibia",TRUE
"Adelophryne_adiastola","Eleutherodactylidae","Amphibia",TRUE
"Adelophryne_baturitensis","Eleutherodactylidae","Amphibia",TRUE
"Adelophryne_gutturosa","Eleutherodactylidae","Amphibia",TRUE
"Adelophryne_maranguapensis","Eleutherodactylidae","Amphibia",TRUE
"Adelophryne_pachydactyla","Eleutherodactylidae","Amphibia",TRUE
"Adelophryne_patamona","Eleutherodactylidae","Amphibia",TRUE
"Adelphobates_castaneoticus","Dendrobatidae","Amphibia",TRUE
"Adelphobates_galactonotus","Dendrobatidae","Amphibia",TRUE
"Adelphobates_quinquevittatus","Dendrobatidae","Amphibia",TRUE
"Adenomera_ajurauna","Leptodactylidae","Amphibia",FALSE
"Adenomera_andreae","Leptodactylidae","Amphibia",FALSE
"Adenomera_araucaria","Leptodactylidae","Amphibia",FALSE
"Adenomera_bokermanni","Leptodactylidae","Amphibia",FALSE
"Adenomera_coca","Leptodactylidae","Amphibia",FALSE
"Adenomera_diptyx","Leptodactylidae","Amphibia",FALSE
"Adenomera_heyeri","Leptodactylidae","Amphibia",FALSE
"Adenomera_hylaedactyla","Leptodactylidae","Amphibia",FALSE
"Adenomera_lutzi","Leptodactylidae","Amphibia",FALSE
"Adenomera_marmorata","Leptodactylidae","Amphibia",FALSE
"Adenomera_martinezi","Leptodactylidae","Amphibia",FALSE
"Adenomera_thomei","Leptodactylidae","Amphibia",FALSE
"Agalychnis_annae","Hylidae","Amphibia",TRUE
"Agalychnis_aspera","Phyllomedusidae","Amphibia",FALSE
"Agalychnis_buckleyi","Hylidae","Amphibia",FALSE
"Agalychnis_callidryas","Hylidae","Amphibia",TRUE
"Agalychnis_dacnicolor","Phyllomedusidae","Amphibia",FALSE
"Agalychnis_danieli","Hylidae","Amphibia",FALSE
"Agalychnis_granulosa","Phyllomedusidae","Amphibia",FALSE
"Agalychnis_hulli","Phyllomedusidae","Amphibia",FALSE
"Agalychnis_lemur","Phyllomedusidae","Amphibia",FALSE
"Agalychnis_medinae","Hylidae","Amphibia",FALSE
"Agalychnis_moreletii","Hylidae","Amphibia",TRUE
"Agalychnis_psilopygion","Hylidae","Amphibia",FALSE
"Agalychnis_saltator","Hylidae","Amphibia",TRUE
"Agalychnis_spurrelli","Hylidae","Amphibia",TRUE
"Allobates_alessandroi","Aromobatidae","Amphibia",TRUE
"Allobates_algorei","Aromobatidae","Amphibia",TRUE
"Allobates_bromelicola","Aromobatidae","Amphibia",TRUE
"Allobates_brunneus","Aromobatidae","Amphibia",TRUE
"Allobates_caeruleodactylus","Aromobatidae","Amphibia",TRUE
"Allobates_caribe","Aromobatidae","Amphibia",TRUE
"Allobates_cepedai","Aromobatidae","Amphibia",FALSE
"Allobates_chalcopis","Aromobatidae","Amphibia",FALSE
